loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.21645303070545197,0.9127110838890076,0.9141485691070557,0.9109756350517273,0.13481658697128296,0.9464665651321411,0.9368575811386108,0.9574787616729736
0.1495344042778015,0.9410725235939026,0.9409484267234802,0.9412132501602173,0.13428142666816711,0.9459662437438965,0.9249284863471985,0.9707353711128235
0.13681131601333618,0.946966826915741,0.9444928169250488,0.9497498273849487,0.12562128901481628,0.950218915939331,0.933944046497345,0.9689844846725464
0.1292356550693512,0.9497029185295105,0.9487627744674683,0.950750470161438,0.12158570438623428,0.9509693384170532,0.9344578385353088,0.9699850082397461
0.12550342082977295,0.9516572952270508,0.9492970108985901,0.9542839527130127,0.11066797375679016,0.956973135471344,0.9484536051750183,0.9664832353591919
0.12066365778446198,0.953220784664154,0.9506560564041138,0.9560663104057312,0.11204902082681656,0.9558473825454712,0.9688705801963806,0.9419710040092468
0.11793360114097595,0.9541588425636292,0.9517011642456055,0.9568793177604675,0.10824873298406601,0.9572232365608215,0.9644308686256409,0.9494747519493103
0.11448059231042862,0.9563320875167847,0.9529751539230347,0.9600375294685364,0.10807052254676819,0.9595997333526611,0.9601803421974182,0.9589794874191284
0.11176684498786926,0.9565666317939758,0.9518195390701294,0.9618198871612549,0.10704434663057327,0.9588492512702942,0.9530748128890991,0.9652326107025146
0.10797078162431717,0.9582238793373108,0.9545003175735474,0.9623202085494995,0.1027110144495964,0.9595997333526611,0.9522520303726196,0.9677338600158691
0.10740891098976135,0.9581926465034485,0.9541031122207642,0.9626954197883606,0.10448058694601059,0.959975004196167,0.958832323551178,0.9612306356430054
0.10770302265882492,0.9580519199371338,0.9534156918525696,0.9631644487380981,0.10485715419054031,0.9602251648902893,0.9632427096366882,0.9569784998893738
0.10448496043682098,0.9602251648902893,0.9554682374000549,0.9654471278190613,0.10163965821266174,0.9609755873680115,0.9661102890968323,0.9554777145385742
0.10180912911891937,0.9604440331459045,0.9557976722717285,0.9655409455299377,0.10649874806404114,0.9593495726585388,0.9473812580108643,0.9727363586425781
0.09901662915945053,0.9615072011947632,0.9564827680587769,0.9670106172561646,0.10099758952856064,0.9613508582115173,0.960319459438324,0.9624812602996826
0.09756878763437271,0.962023138999939,0.9572901129722595,0.9671982526779175,0.10387564450502396,0.96297687292099,0.9681335091590881,0.9574787616729736
0.0940813422203064,0.9637585878372192,0.9587664008140564,0.9691994786262512,0.10131756961345673,0.9624765515327454,0.9652742743492126,0.9594797492027283
0.09574340283870697,0.9624609351158142,0.9574402570724487,0.9679487347602844,0.09893729537725449,0.96297687292099,0.9514634013175964,0.9757378697395325
0.09333837777376175,0.9637273550033569,0.9589910507202148,0.9688867926597595,0.09859912842512131,0.9643527269363403,0.9633141756057739,0.9654827117919922
0.09392683953046799,0.9634302854537964,0.9587963819503784,0.9684802889823914,0.0991162657737732,0.9619762301445007,0.9498295187950134,0.9754877686500549
0.09230466187000275,0.9635709524154663,0.9590351581573486,0.9685115814208984,0.10537351667881012,0.9603502154350281,0.972528874874115,0.9474737644195557
0.09263032674789429,0.9641963839530945,0.9587453603744507,0.9701375961303711,0.10342111438512802,0.959975004196167,0.9446324706077576,0.9772385954856873
0.09022341668605804,0.9649780988693237,0.9600012302398682,0.9703877568244934,0.09891833364963531,0.9633520841598511,0.9641693830490112,0.9624812602996826
0.08842027187347412,0.9655097126960754,0.9609549045562744,0.9704502820968628,0.0970282107591629,0.962226390838623,0.965022623538971,0.959229588508606
0.08766893297433853,0.9661350846290588,0.9607182741165161,0.9720137715339661,0.10493937134742737,0.962226390838623,0.9509516954421997,0.9747373461723328
0.08713474869728088,0.9668073654174805,0.9609411358833313,0.9731707572937012,0.09542824327945709,0.964102566242218,0.960993766784668,0.9674837589263916
0.08626697957515717,0.9666510224342346,0.9606160521507263,0.9732019901275635,0.09401018917560577,0.9653533697128296,0.9638494253158569,0.9669834971427917
0.08445030450820923,0.9672451615333557,0.9628883600234985,0.9719512462615967,0.09719374775886536,0.9649780988693237,0.9670854210853577,0.9627313613891602
0.08499513566493988,0.9668386578559875,0.9611428380012512,0.9730143547058105,0.09762483090162277,0.9621013402938843,0.9496227502822876,0.97598797082901
0.08282700181007385,0.9683552384376526,0.9633421897888184,0.9737648367881775,0.10289935022592545,0.9654784202575684,0.955903947353363,0.97598797082901
0.08259836584329605,0.9678393006324768,0.9626743197441101,0.9734208583831787,0.09664391726255417,0.9642276167869568,0.9635364413261414,0.9649825096130371
0.08374037593603134,0.9670262932777405,0.9616419076919556,0.9728580117225647,0.0932132750749588,0.9647279381752014,0.9663654565811157,0.9629814624786377
0.08020948618650436,0.9684021472930908,0.9628587961196899,0.9743902683258057,0.09456008672714233,0.9634771943092346,0.9630184769630432,0.9639819860458374
0.08165542036294937,0.9684333801269531,0.9631759524345398,0.9741088151931763,0.10840334743261337,0.9585991501808167,0.9707317352294922,0.9457228779792786
0.08189510554075241,0.9681519865989685,0.9628690481185913,0.973858654499054,0.10280454158782959,0.9619762301445007,0.9711734652519226,0.9522261023521423
0.07937543094158173,0.9685584902763367,0.9630419611930847,0.9745153188705444,0.09966587275266647,0.965228259563446,0.9579024910926819,0.973236620426178
0.08085498958826065,0.9689337015151978,0.9632982015609741,0.9750156402587891,0.09550267457962036,0.9658536314964294,0.9666750431060791,0.9649825096130371
