loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.18405818939208984,0.9272983074188232,0.9278066754341125,0.9267041683197021,0.14672031998634338,0.9390869140625,0.9650331139564514,0.9112055897712708
0.134802907705307,0.9479987621307373,0.9491222500801086,0.9467479586601257,0.12577460706233978,0.9499687552452087,0.9646177887916565,0.934217095375061
0.12180231511592865,0.9524859189987183,0.9548612236976624,0.9498749375343323,0.11515785753726959,0.9540963172912598,0.9501611590385437,0.9584792256355286
0.1152062714099884,0.9551907181739807,0.9570199847221375,0.953189492225647,0.11214084178209305,0.956973135471344,0.9515570998191833,0.9629814624786377
0.10874145478010178,0.9575672149658203,0.960852861404419,0.9540024995803833,0.11620337516069412,0.9582238793373108,0.9521223902702332,0.9649825096130371
0.10286398231983185,0.9599593281745911,0.9623738527297974,0.9573483467102051,0.11139712482690811,0.9568480253219604,0.9670161008834839,0.9459729790687561
0.09901876747608185,0.9614133834838867,0.9647851586341858,0.9577861428260803,0.10992468148469925,0.9601000547409058,0.9586138129234314,0.9617308378219604
0.09524207562208176,0.9636647701263428,0.9667590260505676,0.9603502154350281,0.10619844496250153,0.9624765515327454,0.9569945335388184,0.9684842228889465
0.08989764004945755,0.964274525642395,0.968715488910675,0.9595372080802917,0.11254594475030899,0.9595997333526611,0.9634299874305725,0.9554777145385742
0.0891825258731842,0.964493453502655,0.9687884449958801,0.9599124193191528,0.10992181301116943,0.9589743614196777,0.963149905204773,0.9544772505760193
0.08604612946510315,0.9657285809516907,0.9699608683586121,0.9612257480621338,0.11408837884664536,0.9606003761291504,0.9514586925506592,0.9707353711128235
0.08328967541456223,0.967104434967041,0.9712302684783936,0.9627267122268677,0.11157181113958359,0.9619762301445007,0.9583126306533813,0.965982973575592
0.08105289936065674,0.9681676030158997,0.9725711941719055,0.9635084271430969,0.11851982027292252,0.9577235579490662,0.966360867023468,0.9484742283821106
