loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.16870103776454926,0.9333646297454834,0.9326881170272827,0.9341463446617126,0.10781630128622055,0.959975004196167,0.9551980495452881,0.9652326107025146
0.11765111982822418,0.9543620944023132,0.953497052192688,0.9553158283233643,0.09621218591928482,0.9612257480621338,0.9675456285476685,0.9544772505760193
0.102409228682518,0.960537850856781,0.9599050879478455,0.9612257480621338,0.09486287832260132,0.9602251648902893,0.9739825129508972,0.9457228779792786
0.0909583643078804,0.9651970267295837,0.9645287990570068,0.9659162163734436,0.09110140800476074,0.9666041135787964,0.9573425054550171,0.9767383933067322
0.08582212775945663,0.9660725593566895,0.964243471622467,0.9680425524711609,0.08376505225896835,0.9687304496765137,0.9661691784858704,0.9714857339859009
0.07809986174106598,0.9693558216094971,0.9676012396812439,0.971231997013092,0.08579406887292862,0.9677298069000244,0.9590083360671997,0.9772385954856873
0.07484768331050873,0.9706222414970398,0.9687023162841797,0.9726704359054565,0.08246942609548569,0.970856785774231,0.9733467698097229,0.968234121799469
0.06897662580013275,0.9727954864501953,0.9711161255836487,0.9745778441429138,0.0928288921713829,0.9683552384376526,0.9579359292984009,0.9797398447990417
0.06343763321638107,0.9751406908035278,0.9727165102958679,0.9777048230171204,0.08298669755458832,0.9716072678565979,0.9722013473510742,0.970985472202301
0.0624738447368145,0.9751094579696655,0.9728325009346008,0.9775171875953674,0.08140886574983597,0.9737336039543152,0.9720837473869324,0.9754877686500549
0.05839940905570984,0.9766416549682617,0.9743573665618896,0.9790493845939636,0.07829675078392029,0.971982479095459,0.9719859957695007,0.9719859957695007
0.0560029111802578,0.9773764610290527,0.9741296172142029,0.9808005094528198,0.08582611382007599,0.9711069464683533,0.9717004895210266,0.970485270023346
0.05334992706775665,0.9790493845939636,0.9757763743400574,0.9824890494346619,0.08830158412456512,0.9722326397895813,0.9736577868461609,0.9707353711128235
0.05160895362496376,0.9796279072761536,0.976454496383667,0.9829580783843994,0.09152279049158096,0.9723577499389648,0.9779802560806274,0.9664832353591919
0.05003434792160988,0.9800344109535217,0.9775406718254089,0.9826453924179077,0.08448620140552521,0.9721075892448425,0.9772440195083618,0.9667333960533142
0.04848766326904297,0.9808474183082581,0.9779034852981567,0.9839274287223816,0.09032188355922699,0.9707317352294922,0.9707353711128235,0.9707353711128235
